name,orgnr,email,website,city,gatuadress,postadress,postnummer,postort,full_address,lat,lon,sate_clean,registrerad_datum,registrerad_datum_sort,registrerad_ar,arbetsgivare,f_skatt,moms,fordon_antal,har_fordon,sni,sni_text_clean,sni_antal,bolagsform,status,SNI1,SNI1_text,SNI2,SNI2_text,SNI3,SNI3_text,SNI4,SNI4_text,SNI5,SNI5_text,status_clean,registrerad_datum_clean,sni_kod_clean
4H-Gården Vissmålen,8260008738,kansli@vissmalen.se,vissmalen.se,Huskvarna,Rogbergvägen,561 44 Huskvarna,56144,Huskvarna,"Rogbergvägen, 56144, Huskvarna, Sweden",57.7791492,14.2801821,"Jönköping, Jönköpings län",1976-01-01,1976-01-01,1976.0,Ja,Nej,Nej,1,Ja,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1976-01-01,94990
8 Penseldrag,8260022416,gerd.roges@outlook.com,,Huskvarna,Maskrosstigen 39,566 36 Habo,56636,Habo,"Maskrosstigen 39, 56636, Habo, Sweden",57.8995662,14.0827471,"Jönköping, Jönköpings län",2002-05-23,2002-05-23,2002.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Avregistrerad 2026-02-27,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Avregistrerad 2026-02-27,2002-05-23,94990
A6 Golfklubb,8260012862,info@a6gk.se,www.a6gk.se,Jönköping,Centralvägen 37,553 05 Jönköping,55305,Jönköping,"Centralvägen 37, 55305, Jönköping, Sweden",57.7642505,14.2076654,"Jönköping, Jönköpings län",1987-02-26,1987-02-26,1987.0,Ja,Nej,Ja,2,Ja,93112,Drift av golfbanor,1,Ideell förening,Aktiv,93112,Drift av golfbanor,,,,,,,,,Aktiv,1987-02-26,93112
A6 Skytte o IF,8260022333,styrelsen@a6fencing.se,www.a6fencing.se,Jönköping,Förborgsgatan 23,554 39 Jönköping,55439,Jönköping,"Förborgsgatan 23, 55439, Jönköping, Sweden",57.7736282,14.1384714,"Jönköping, Jönköpings län",2002-04-09,2002-04-09,2002.0,Ja,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2002-04-09,93120
ABF Jönköpings län,8260007987,mariana.emanuelsson@abf.se,www.abf.se,Jönköping,Västra Storgatan 12 1 tr,553 15 Jönköping,55315,Jönköping,"Västra Storgatan 12 1 tr, 55315, Jönköping, Sweden",57.7842439,14.1608975,"Jönköping, Jönköpings län",1975-01-01,1975-01-01,1975.0,Ja,Ja,Nej,0,Nej,85593,Studieförbundens och frivilligorganisationernas utbildning,1,Ideell förening,Aktiv,85593,Studieförbundens och frivilligorganisationernas utbildning,,,,,,,,,Aktiv,1975-01-01,85593
Afasiföreningen i Jönköpings län,8260013332,kembrand@gmail.com,,Jönköping,,,,,Sweden,59.6749712,14.5208584,,,,,,,,0,Nej,,,0,,,,,,,,,,,,,,,
Afghanska förening i Jönköping,8024926332,ahmad.zaheri95@gmail.com,,Huskvarna,Duvgatan 67 lgh 1203,554 64 Jönköping,55464,Jönköping,"Duvgatan 67 lgh 1203, 55464, Jönköping, Sweden",57.7815554,14.2417791,"Jönköping, Jönköpings län",2015-01-08,2015-01-08,2015.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2015-01-08,94990
Afro Scandinavia JKPG,8024531496,info@afroscandinavia.se,,,Järnvägsgatan 9,553 15 Jönköping,55315,Jönköping,"Järnvägsgatan 9, 55315, Jönköping, Sweden",57.7841035,14.1631273,"Jönköping, Jönköpings län",2010-06-24,2010-06-24,2010.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2010-06-24,94990
Aikidoföreningen Aikido Dojo Vätterstaden,8024192919,sanglert@gmail.com,www.vatteraikido.org,Jönköping,Solstickegatan 15,553 13 Jönköping,55313,Jönköping,"Solstickegatan 15, 55313, Jönköping, Sweden",57.7788227,14.146349,"Jönköping, Jönköpings län",2004-08-09,2004-08-09,2004.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2004-08-09,93120
AJ81,8025450068,andreas.janzon@gmail.com,,Huskvarna,Lärlingsgatan 9,561 33 Huskvarna,56133,Huskvarna,"Lärlingsgatan 9, 56133, Huskvarna, Sweden",57.7837441,14.2680694,"Jönköping, Jönköpings län",2023-10-27,2023-10-27,2023.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2023-10-27,94990
Akademikerförbundet SSR,8020041573,,,Stockholm,Box 12800,112 96 Stockholm,11296,Stockholm,"Box 12800, 11296, Stockholm, Sweden",59.3251172,18.0710935,"Stockholm, Stockholms län",1971-01-01,1971-01-01,1971.0,Ja,Ja,Ja,0,Nej,94200,Intressebevakning inom arbetstagarorganisationer,1,Ideell förening,Aktiv,94200,Intressebevakning inom arbetstagarorganisationer,,,,,,,,,Aktiv,1971-01-01,94200
Aktiv Ungdom Bankeryd,8024426911,bankeryd@aktivungdom.se,,Bankeryd,Bagaregatan 8,566 33 Habo,56633,Habo,"Bagaregatan 8, 56633, Habo, Sweden",57.9025626,14.0946431,"Jönköping, Jönköpings län",2008-09-11,2008-09-11,2008.0,Ja,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2008-09-11,94990
Aktiva Seniorer,8024192612,,www.jonkoping.aktivaseniorer.com,,Fortunagatan 30,553 23 Jönköping,55323,Jönköping,"Fortunagatan 30, 55323, Jönköping, Sweden",57.7767112,14.1779532,"Jönköping, Jönköpings län",2004-08-09,2004-08-09,2004.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2004-08-09,93120
Al Sqelbia,8025385074,rimonsan12@hotmail.com,,Jönköping,Tellusgatan 61 A,554 62 Jönköping,55462,Jönköping,"Tellusgatan 61 A, 55462, Jönköping, Sweden",57.78197,14.2452285,"Jönköping, Jönköpings län",2022-02-11,2022-02-11,2022.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2022-02-11,94990
Albanska Föreningen Liria,8260022218,avni.asani1950@gmail.com,,Jönköping,Lovisagatan 401,554 74 Jönköping,55474,Jönköping,"Lovisagatan 401, 55474, Jönköping, Sweden",57.768382,14.1418568,"Jönköping, Jönköpings län",2002-03-04,2002-03-04,2002.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2002-03-04,94990
Alé Taha Kulturförening Jönköping,8025069512,hassanmomini@gmail.com,,Huskvarna,Kohagsgatan 89 lgh 1001,561 49 Huskvarna,56149,Huskvarna,"Kohagsgatan 89 lgh 1001, 56149, Huskvarna, Sweden",57.7735452,14.2653261,"Jönköping, Jönköpings län",2017-02-02,2017-02-02,2017.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2017-02-02,94990
Aledals IK,8025250518,aledalsinfo@gmail.com,,Habo,Lundgatan 71,566 33 Habo,56633,Habo,"Lundgatan 71, 56633, Habo, Sweden",57.9063335,14.0952433,"Habo, Jönköpings län",2019-07-03,2019-07-03,2019.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2019-07-03,93120
Alliance Francaise de Jönköping,8024300140,rosenkvisteva60@gmail.com,www.alliancefrancaise-jonk.se,,Fornstigen 3,562 40 Taberg,56240,Taberg,"Fornstigen 3, 56240, Taberg, Sweden",57.6847058,14.09065,"Jönköping, Jönköpings län",2005-12-15,2005-12-15,2005.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,2005-12-15,94990
Allianskyrkan Jönköping,8260002079,info@allianskyrkan.se,www.allianskyrkan.se,Jönköping,Östra Storgatan 56,553 21 Jönköping,55321,Jönköping,"Östra Storgatan 56, 55321, Jönköping, Sweden",57.781238,14.1799441,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,2,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,56110,Restaurangverksamhet,,,,,,,Aktiv,1971-01-01,94910
Allianskyrkan Tenhult,8260004596,info@allianskyrkan.org,,Tenhult,Centrumvägen 22,561 61 Tenhult,56161,Tenhult,"Centrumvägen 22, 56161, Tenhult, Sweden",57.7089593,14.3210044,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1971-01-01,94910
Allianskyrkan Ölmstad,8260004885,isak.olmstad@gmail.com,,Gränna,Ånaryd 26,563 93 Gränna,56393,Gränna,"Ånaryd 26, 56393, Gränna, Sweden",58.0250583,14.4673146,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Ja,Nej,Nej,0,Nej,94910,Verksamhet i religiösa samfund,1,Ideell förening,Aktiv,94910,Verksamhet i religiösa samfund,,,,,,,,,Aktiv,1971-01-01,94910
Allianskyrkans Musikkår,8025109284,bosse147852@gmail.com,,Jönköping,Ebbesvägen 41,561 39 Huskvarna,56139,Huskvarna,"Ebbesvägen 41, 56139, Huskvarna, Sweden",57.7819998,14.2954391,"Jönköping, Jönköpings län",2017-09-07,2017-09-07,2017.0,Nej,Nej,Nej,0,Nej,90200,Scenkonst,1,Ideell förening,Aktiv,90200,Scenkonst,,,,,,,,,Aktiv,2017-09-07,90200
Amistad Cristiana de Jönköping,8025144851,,,Jönköping,Kortebovägen 53 C,553 11 Jönköping,55311,Jönköping,"Kortebovägen 53 C, 55311, Jönköping, Sweden",57.7881863,14.1499421,"Jönköping, Jönköpings län",2018-02-15,2018-02-15,2018.0,Nej,Nej,Nej,0,Nej,,Uppgift saknas,0,Ideell förening,Aktiv,,,,,,,,,,,Aktiv,2018-02-15,
Angerdshestra Hembygdsförening,8260000040,,,Månsarp,Yås Kvarn 3,562 91 Månsarp,56291,Månsarp,"Yås Kvarn 3, 56291, Månsarp, Sweden",57.6535457,14.0688219,"Jönköping, Jönköpings län",1971-01-01,1971-01-01,1971.0,Nej,Nej,Nej,0,Nej,94990,Verksamhet i diverse övriga intresseorganisationer,1,Ideell förening,Aktiv,94990,Verksamhet i diverse övriga intresseorganisationer,,,,,,,,,Aktiv,1971-01-01,94990
Arena Bowling Club,8024226717,olof.assarsson@gmail.com,www.arenabowl.nu,Norrahammar,Egnahemsvägen 11,562 32 Norrahammar,56232,Norrahammar,"Egnahemsvägen 11, 56232, Norrahammar, Sweden",57.6967392,14.1143831,"Jönköping, Jönköpings län",2005-03-25,2005-03-25,2005.0,Nej,Nej,Nej,0,Nej,93120,Sportklubbars och idrottsföreningars verksamhet,1,Ideell förening,Aktiv,93120,Sportklubbars och idrottsföreningars verksamhet,,,,,,,,,Aktiv,2005-03-25,93120
